Date,High,Low,Close
17-08-2022 04:49:00,23924.66000000,23908.56000000,23924.66000000
17-08-2022 04:50:00,23930.95000000,23924.65000000,23925.93000000
17-08-2022 04:51:00,23925.97000000,23920.98000000,23922.65000000
17-08-2022 04:52:00,23920.11000000,23917.01000000,23917.56000000
17-08-2022 04:53:00,23932.36000000,23916.36000000,23932.36000000
17-08-2022 04:54:00,23935.27000000,23926.85000000,23928.38000000
17-08-2022 04:55:00,23932.25000000,23928.57000000,23929.94000000
17-08-2022 04:56:00,23925.58000000,23923.36000000,23925.58000000
17-08-2022 04:57:00,23940.41000000,23930.53000000,23940.41000000
17-08-2022 04:58:00,23951.86000000,23936.42000000,23948.52000000
17-08-2022 04:59:00,23950.33000000,23944.32000000,23950.33000000
17-08-2022 05:00:00,23952.26000000,23932.18000000,23936.43000000
17-08-2022 05:01:00,23945.17000000,23937.36000000,23939.67000000
17-08-2022 05:02:00,23937.75000000,23911.85000000,23915.08000000
17-08-2022 05:03:00,23924.11000000,23909.64000000,23914.49000000
17-08-2022 05:04:00,23924.12000000,23914.81000000,23914.81000000
17-08-2022 05:05:00,23914.48000000,23904.25000000,23904.25000000
17-08-2022 05:06:00,23904.24000000,23895.42000000,23899.47000000
17-08-2022 05:07:00,23902.63000000,23872.82000000,23887.25000000
17-08-2022 05:08:00,23888.74000000,23881.04000000,23887.79000000
17-08-2022 05:09:00,23913.01000000,23903.13000000,23913.01000000
17-08-2022 05:10:00,23917.57000000,23908.97000000,23908.97000000
17-08-2022 05:11:00,23919.57000000,23903.78000000,23912.97000000
17-08-2022 05:12:00,23914.08000000,23906.22000000,23913.11000000
17-08-2022 05:13:00,23914.48000000,23897.71000000,23897.71000000
17-08-2022 05:14:00,23914.11000000,23902.60000000,23912.70000000
17-08-2022 05:15:00,23911.44000000,23900.45000000,23900.45000000
17-08-2022 05:16:00,23895.26000000,23870.96000000,23876.32000000
17-08-2022 05:17:00,23896.05000000,23877.37000000,23886.71000000
17-08-2022 05:18:00,23881.09000000,23856.01000000,23877.92000000
17-08-2022 05:19:00,23893.03000000,23877.78000000,23883.41000000
17-08-2022 05:20:00,23883.07000000,23868.44000000,23874.60000000
17-08-2022 05:21:00,23884.84000000,23871.36000000,23879.65000000
17-08-2022 05:22:00,23890.07000000,23879.00000000,23886.99000000
17-08-2022 05:23:00,23892.74000000,23874.33000000,23874.33000000
17-08-2022 05:24:00,23881.06000000,23870.05000000,23879.84000000
17-08-2022 05:25:00,23879.45000000,23867.72000000,23868.94000000
17-08-2022 05:26:00,23881.38000000,23869.91000000,23876.83000000
17-08-2022 05:27:00,23876.82000000,23867.79000000,23872.02000000
17-08-2022 05:28:00,23876.17000000,23867.77000000,23874.04000000
17-08-2022 05:29:00,23881.94000000,23869.99000000,23881.94000000
17-08-2022 05:30:00,23890.06000000,23878.37000000,23879.03000000
17-08-2022 05:31:00,23877.49000000,23864.89000000,23864.89000000
17-08-2022 05:32:00,23867.99000000,23824.96000000,23837.66000000
17-08-2022 05:33:00,23842.93000000,23823.59000000,23832.49000000
17-08-2022 05:34:00,23845.18000000,23825.79000000,23826.94000000
17-08-2022 05:35:00,23828.59000000,23813.97000000,23814.20000000
17-08-2022 05:36:00,23830.53000000,23815.05000000,23828.26000000
17-08-2022 05:37:00,23827.68000000,23811.97000000,23811.97000000
17-08-2022 05:38:00,23824.78000000,23811.07000000,23824.78000000
17-08-2022 05:39:00,23868.57000000,23827.80000000,23858.06000000
17-08-2022 05:40:00,23867.84000000,23845.65000000,23852.73000000
17-08-2022 05:41:00,23857.72000000,23846.39000000,23852.62000000
17-08-2022 05:42:00,23857.46000000,23845.48000000,23854.57000000
17-08-2022 05:43:00,23856.41000000,23848.33000000,23856.41000000
17-08-2022 05:44:00,23868.71000000,23850.47000000,23865.62000000
17-08-2022 05:45:00,23890.00000000,23864.25000000,23886.45000000
17-08-2022 05:46:00,23893.85000000,23874.40000000,23874.40000000
17-08-2022 05:47:00,23885.21000000,23874.39000000,23884.40000000
17-08-2022 05:48:00,23884.59000000,23873.34000000,23873.46000000
17-08-2022 05:49:00,23881.83000000,23869.81000000,23876.46000000
17-08-2022 05:50:00,23879.18000000,23865.80000000,23877.72000000
17-08-2022 05:51:00,23879.40000000,23874.73000000,23875.28000000
17-08-2022 05:52:00,23889.60000000,23870.60000000,23888.65000000
17-08-2022 05:53:00,23891.75000000,23888.14000000,23890.06000000
17-08-2022 05:54:00,23898.84000000,23890.11000000,23891.74000000
17-08-2022 05:55:00,23893.67000000,23879.06000000,23879.06000000
17-08-2022 05:56:00,23881.88000000,23875.77000000,23877.09000000
17-08-2022 05:57:00,23885.13000000,23872.54000000,23881.60000000
17-08-2022 05:58:00,23881.62000000,23851.33000000,23851.33000000
17-08-2022 05:59:00,23850.47000000,23836.01000000,23844.67000000
17-08-2022 06:00:00,23844.71000000,23829.18000000,23829.28000000
17-08-2022 06:01:00,23838.78000000,23824.00000000,23838.78000000
17-08-2022 06:02:00,23866.58000000,23838.71000000,23857.62000000
17-08-2022 06:03:00,23867.29000000,23848.60000000,23856.98000000
17-08-2022 06:04:00,23863.63000000,23856.57000000,23862.42000000
17-08-2022 06:05:00,23862.90000000,23853.91000000,23856.95000000
17-08-2022 06:06:00,23859.26000000,23843.10000000,23859.12000000
17-08-2022 06:07:00,23872.63000000,23859.26000000,23865.06000000
17-08-2022 06:08:00,23886.27000000,23856.45000000,23880.70000000
17-08-2022 06:09:00,23897.97000000,23877.24000000,23897.97000000
17-08-2022 06:10:00,23898.14000000,23885.70000000,23887.28000000
17-08-2022 06:11:00,23900.60000000,23879.00000000,23890.10000000
17-08-2022 06:12:00,23893.55000000,23864.43000000,23864.43000000
17-08-2022 06:13:00,23873.34000000,23859.37000000,23868.08000000
17-08-2022 06:14:00,23870.71000000,23860.30000000,23866.96000000
17-08-2022 06:15:00,23878.52000000,23864.96000000,23875.12000000
17-08-2022 06:16:00,23882.82000000,23870.58000000,23878.11000000
17-08-2022 06:17:00,23894.99000000,23876.36000000,23887.86000000
17-08-2022 06:18:00,23899.86000000,23877.05000000,23878.16000000
17-08-2022 06:19:00,23878.22000000,23863.42000000,23867.30000000
17-08-2022 06:20:00,23877.33000000,23865.91000000,23866.37000000
17-08-2022 06:21:00,23873.88000000,23863.78000000,23870.77000000
17-08-2022 06:22:00,23878.65000000,23871.77000000,23876.58000000
17-08-2022 06:23:00,23890.11000000,23870.59000000,23883.45000000
17-08-2022 06:24:00,23893.45000000,23880.48000000,23883.62000000
17-08-2022 06:25:00,23883.67000000,23851.39000000,23853.34000000
17-08-2022 06:26:00,23858.66000000,23840.57000000,23853.50000000
17-08-2022 06:27:00,23852.97000000,23838.86000000,23840.53000000
17-08-2022 06:28:00,23855.74000000,23837.47000000,23852.97000000
17-08-2022 06:29:00,23864.76000000,23854.05000000,23854.05000000
17-08-2022 06:30:00,23866.86000000,23847.47000000,23866.75000000
17-08-2022 06:31:00,23880.35000000,23867.79000000,23875.25000000
17-08-2022 06:32:00,23876.88000000,23867.44000000,23869.90000000
17-08-2022 06:33:00,23866.46000000,23854.84000000,23856.89000000
17-08-2022 06:34:00,23853.40000000,23841.16000000,23842.89000000
17-08-2022 06:35:00,23843.86000000,23821.62000000,23823.55000000
17-08-2022 06:36:00,23836.14000000,23821.06000000,23829.33000000
17-08-2022 06:37:00,23840.68000000,23831.23000000,23831.23000000
17-08-2022 06:38:00,23850.62000000,23831.44000000,23845.49000000
17-08-2022 06:39:00,23880.76000000,23848.29000000,23874.63000000
17-08-2022 06:40:00,23891.84000000,23875.02000000,23876.59000000
17-08-2022 06:41:00,23891.20000000,23866.96000000,23871.93000000
17-08-2022 06:42:00,23877.92000000,23867.09000000,23867.09000000
17-08-2022 06:43:00,23869.67000000,23848.47000000,23854.25000000
17-08-2022 06:44:00,23858.70000000,23839.21000000,23845.31000000
17-08-2022 06:45:00,23853.68000000,23838.16000000,23853.68000000
17-08-2022 06:46:00,23855.12000000,23843.14000000,23854.77000000
17-08-2022 06:47:00,23882.87000000,23855.12000000,23874.85000000
